,idx,charger_type,daily_usage_2,peak_usage_2,daily_usage_3,peak_usage_3,type_2_rating,type_3_rating,type_2_nos,type_3_nos,energy_usage,uptime
31,31,Tata Power,42.6,144.0,2.0,6.0,20,200,6,2,259.6,35
32,32,Tata Power,110.5,120.0,21.8,24.0,4,250,5,1,574.3,170
33,33,Tata Power,16.3,16.3,53.7,72.0,15,350,1,3,177.4,110
34,34,Tata Power,11.8,28.32,45.4,48.0,4,300,2,2,114.4,25
35,35,Tata Power,27.6,144.0,2.4,11.52,20,300,6,2,170.4,80
36,36,Tata Power,10.9,13.08,22.7,24.0,20,350,1,1,33.6,180
37,37,Tata Power,45.0,144.0,4.6,12.88,22,300,6,2,279.2,35
38,38,Tata Power,20.0,120.0,16.3,24.0,4,350,5,1,116.3,90
39,39,Tata Power,16.1,24.0,43.8,48.0,20,300,1,2,103.7,110
40,40,Tata Power,50.8,96.0,4.2,31.5,22,450,4,3,215.8,190
41,41,Tata Power,43.5,72.0,7.2,36.72,22,350,3,3,152.1,70
42,42,Tata Power,111.5,120.0,22.3,24.0,4,350,5,1,579.8,180
43,43,Tata Power,117.6,144.0,9.0,18.0,20,450,6,1,714.6,35
44,44,Tata Power,12.8,16.64,37.2,48.0,15,350,1,2,87.2,25
45,45,Tata Power,56.4,144.0,25.5,72.0,22,350,6,3,414.9,20
46,46,Tata Power,125.4,144.0,51.3,72.0,8,450,6,3,906.3,125
47,47,Tata Power,42.0,72.0,37.8,72.0,8,350,3,3,239.4,35
48,48,Tata Power,46.8,96.0,30.2,48.0,20,200,4,2,247.6,90
49,49,Tata Power,9.8,21.56,42.4,48.0,8,400,2,2,104.4,25
50,50,Tata Power,36.4,96.0,34.8,48.0,22,300,4,2,215.2,175
51,51,Tata Power,3.8,10.64,18.9,24.0,22,450,2,1,26.5,5
52,52,Tata Power,3.4,3.4,42.3,72.0,8,200,1,3,130.3,70
53,53,Tata Power,17.4,57.42,15.6,43.68,4,450,3,2,83.4,50
54,54,Tata Power,70.4,96.0,17.4,24.0,20,200,4,1,299.0,55
55,55,Tata Power,120.0,144.0,3.4,6.46,22,200,6,1,723.4,55
56,56,Tata Power,81.2,96.0,45.0,48.0,8,350,4,2,414.8,100
57,57,Tata Power,40.2,144.0,24.3,72.0,4,200,6,3,314.1,0
58,58,Tata Power,64.5,120.0,4.9,5.88,4,250,5,1,327.4,85
59,59,Tata Power,109.0,120.0,2.6,10.92,20,250,5,2,550.2,120
60,60,Tata Power,65.0,120.0,18.3,72.0,8,400,5,3,379.9,120
61,61,Tata Power,37.2,96.0,38.8,48.0,4,300,4,2,226.4,120
62,62,Tata Power,46.2,72.0,8.0,20.8,8,250,3,2,154.6,65
63,63,Tata Power,26.4,96.0,67.5,72.0,15,400,4,3,308.1,15
64,64,Tata Power,92.0,120.0,16.6,16.6,10,400,5,1,476.6,30
65,65,Tata,55.8,72.0,9.5,22.8,20,300,3,1,176.9,135
66,66,Tata,80.5,120.0,32.4,72.0,22,350,5,3,499.7,70
67,67,Tata,13.2,96.0,11.0,19.8,4,250,4,1,63.8,75
68,68,Tata,68.4,72.0,13.6,27.2,8,250,3,2,232.4,60
69,69,Tata,3.4,9.52,2.5,5.0,10,200,2,1,9.3,125
70,70,Tata,2.4,12.0,45.0,72.0,10,450,2,3,139.8,135
71,71,Tata,31.8,72.0,22.4,48.0,22,400,3,2,140.2,35
72,72,Tata,12.0,48.0,12.0,68.4,4,450,4,3,84.0,55
73,73,Tata,123.0,144.0,48.3,72.0,15,400,6,3,882.9,120
74,74,Tata,20.0,96.0,47.2,48.0,8,300,4,2,174.4,170
75,75,Tata,97.2,144.0,25.5,72.0,4,350,6,3,659.7,155
76,76,Tata,51.6,96.0,18.4,24.0,8,200,4,1,224.8,40
77,77,Tata,22.0,48.0,4.3,5.16,4,250,2,1,48.3,65
78,78,Tata Power,17.0,24.0,7.9,18.96,8,200,1,1,24.9,100
79,79,Tata Power,48.0,72.0,32.4,48.0,15,250,3,2,208.8,80
80,80,Others,38.4,96.0,36.2,48.0,10,200,4,2,226.0,140
81,81,Others,15.8,24.0,16.8,24.0,15,250,1,1,32.6,130
82,82,Tata Power,8.0,44.8,9.0,27.0,15,200,4,3,59.0,45
83,83,Tata Power,9.0,9.0,68.1,72.0,15,300,1,3,213.3,0
84,84,Tata Power,39.6,144.0,37.8,48.0,4,250,6,2,313.2,20
85,85,Tata Power,76.5,120.0,58.8,72.0,8,250,5,3,558.9,50
86,86,Tata Power,48.0,72.0,34.8,48.0,15,300,3,2,213.6,160
87,87,Tata Power,23.4,70.19999999999999,18.9,72.0,10,300,3,3,126.9,20
88,88,Tata Power,24.9,72.0,35.6,48.0,10,450,3,2,145.9,55
89,89,Tata Power,42.8,96.0,13.0,48.0,8,350,4,2,197.2,25
90,90,Tata Power,46.8,72.0,21.0,24.0,10,400,3,1,161.4,180
91,91,Tata Power,74.8,96.0,52.2,72.0,4,400,4,3,455.8,155
92,92,Tata Power,23.7,24.0,21.6,24.0,8,400,1,1,45.3,120
93,93,Tata Power,72.6,144.0,5.6,11.76,20,350,6,1,441.2,170
94,94,Tata Power,65.1,72.0,2.9,6.38,8,400,3,1,198.2,105
95,95,Tata Power,17.2,24.0,29.4,48.0,10,200,1,2,76.0,95
96,96,Tata Power,14.4,72.0,43.6,48.0,15,400,3,2,130.4,140
97,97,Tata Power,39.3,72.0,18.7,20.57,20,450,3,1,136.6,95
98,98,Tata Power,69.2,96.0,33.8,48.0,8,450,4,2,344.4,190
99,99,Tata Power,43.5,120.0,24.8,48.0,22,250,5,2,267.1,10
100,100,Tata Power,13.8,70.38,11.8,30.68,10,400,3,2,65.0,175
101,101,Tata Power,20.7,24.0,10.9,13.08,15,300,1,1,31.6,0
102,102,Tata Power,23.6,96.0,30.0,48.0,22,200,4,2,154.4,105
103,103,Tata Power,8.0,40.0,7.6,38.0,22,350,5,2,55.2,40
104,104,Tata Power,13.3,21.28,24.2,48.0,4,450,1,2,61.7,100
105,105,Tata Power,32.4,72.0,67.2,72.0,4,400,3,3,298.8,185
106,106,Tata Power,109.8,144.0,21.2,48.0,20,350,6,2,701.2,105
107,107,Tata Power,133.2,144.0,3.1,5.89,20,250,6,1,802.3,115
108,108,Tata Power,12.3,22.14,45.6,48.0,22,450,1,2,103.5,5
109,109,Tata Power,3.4,6.12,18.1,24.0,20,450,1,1,21.5,80
110,110,Tata Power,6.0,21.6,32.8,48.0,10,400,3,2,83.6,105
111,111,Tata Power,11.4,21.66,19.6,48.0,22,250,1,2,50.6,160
112,112,Tata Power,14.3,20.02,11.3,13.56,22,450,1,1,25.6,135
113,113,Tata Power,70.2,72.0,22.2,66.6,4,300,3,3,277.2,100
114,114,Tata Power,46.4,96.0,23.6,48.0,22,200,4,2,232.8,140
115,115,Tata Power,7.0,49.0,29.0,48.0,20,400,5,2,93.0,15
116,116,Tata Power,21.3,72.0,42.8,48.0,15,250,3,2,149.5,75
117,117,Tata Power,36.3,72.0,8.7,46.980000000000004,20,200,3,3,135.0,165
118,118,Tata Power,84.8,96.0,17.8,17.8,15,300,4,1,357.0,50
119,119,Tata Power,30.8,48.0,6.0,21.6,20,300,2,3,79.6,195
120,120,Tata Power,32.5,120.0,41.8,48.0,8,250,5,2,246.1,110
121,121,Tata Power,3.4,15.64,5.4,12.96,8,400,2,2,17.6,35
122,122,Tata Power,45.2,48.0,3.4,7.48,4,250,2,2,97.2,45
123,123,Tata Power,5.3,10.07,32.7,72.0,4,450,1,3,103.4,0
124,124,Tata Power,19.0,120.0,18.5,24.0,22,450,5,1,113.5,50
125,125,Tata Power,15.8,24.0,55.2,72.0,20,250,1,3,181.4,90
126,126,Tata Power,40.8,96.0,12.9,72.0,20,450,4,3,201.9,135
127,127,Tata Power,34.5,72.0,11.3,20.34,22,250,3,1,114.8,5
128,128,Tata Power,38.7,72.0,20.1,24.0,15,250,3,1,136.2,190
129,129,Tata Power,11.7,23.4,53.4,72.0,20,300,1,3,171.9,175
130,130,Tata Power,39.0,72.0,3.3,11.879999999999999,20,350,3,3,126.9,105
131,131,Tata Power,30.0,144.0,61.5,72.0,20,250,6,3,364.5,60
132,132,Tata Power,52.8,72.0,38.0,48.0,4,200,3,2,234.4,140
133,133,Tata Power,8.1,41.31,42.2,48.0,20,350,3,2,108.7,140
134,134,Tata Power,6.6,17.16,9.4,37.6,10,400,2,2,32.0,0
135,135,Tata Power,19.2,138.24,21.4,24.0,4,300,6,1,136.6,5
136,136,Tata Power,109.0,120.0,45.0,72.0,20,200,5,3,680.0,90
137,137,Tata Power,32.7,72.0,14.6,43.8,22,350,3,2,127.3,100
138,138,Tata Power,17.6,96.0,22.2,24.0,10,450,4,1,92.6,110
139,139,Tata Power,16.7,24.0,13.5,44.55,22,350,1,3,57.2,105
140,140,Tata Power,113.0,120.0,4.3,5.59,15,450,5,1,569.3,20
141,141,Tata Power,17.5,17.5,27.6,72.0,15,400,1,3,100.3,160
142,142,Tata Power,81.0,144.0,23.7,24.0,22,300,6,1,509.7,185
143,143,Tata Power,36.4,96.0,2.6,9.36,4,200,4,2,150.8,120
144,144,Tata Power,52.8,96.0,32.0,48.0,20,400,4,2,275.2,65
145,145,Tata Power,26.0,120.0,15.3,24.0,8,450,5,1,145.3,190
146,146,Tata Power,60.6,72.0,10.9,15.26,10,450,3,1,192.7,185
147,147,Tata Power,27.4,48.0,41.0,48.0,15,400,2,2,136.8,95
148,148,Tata Power,54.0,96.0,34.6,48.0,8,400,4,2,285.2,15
149,149,Tata Power,39.3,72.0,3.2,5.44,20,350,3,1,121.1,85
150,150,Tata Power,13.6,19.04,23.7,72.0,20,350,1,3,84.7,15
151,151,Tata Power,32.2,48.0,24.4,48.0,10,450,2,2,113.2,30
152,152,Tata Power,38.0,120.0,3.4,11.56,20,350,5,2,196.8,110
153,153,Tata Power,20.4,144.0,54.9,72.0,4,350,6,3,287.1,195
154,154,Tata Power,60.6,144.0,46.0,48.0,10,400,6,2,455.6,35
155,155,Tata Power,15.3,18.36,11.4,23.94,15,200,1,1,26.7,170
156,156,Tata Power,44.4,96.0,38.2,48.0,22,300,4,2,254.0,50
157,157,Tata Power,115.5,120.0,20.9,24.0,10,200,5,1,598.4,65
158,158,Tata Power,59.4,144.0,34.0,48.0,4,300,6,2,424.4,5
159,159,Tata Power,118.2,144.0,15.6,48.0,15,450,6,2,740.4,10
160,160,Tata Power,45.5,120.0,42.6,72.0,8,300,5,3,355.3,50
161,161,Tata Power,78.0,144.0,6.6,47.519999999999996,8,450,6,3,487.8,160
162,162,Tata Power,46.8,96.0,45.9,72.0,15,350,4,3,324.9,15
163,163,Tata Power,5.4,9.18,11.2,16.8,22,400,1,1,16.6,35
164,164,Tata Power,34.8,72.0,47.1,72.0,4,450,3,3,245.7,135
165,165,Tata Power,11.7,24.0,41.8,48.0,20,450,1,2,95.3,70
166,166,Tata Power,63.0,72.0,71.4,72.0,4,250,3,3,403.2,110
167,167,Tata Power,29.0,48.0,22.4,24.0,15,300,2,1,80.4,20
168,168,Tata Power,9.5,109.25,10.5,47.25,10,400,5,3,79.0,165
169,169,Zeon,83.5,120.0,43.5,72.0,15,400,5,3,548.0,70
170,170,Zeon,72.8,96.0,33.3,72.0,22,400,4,3,391.1,15
171,171,Zeon,73.2,144.0,34.6,48.0,4,300,6,2,508.4,150
172,172,Zeon,10.0,24.0,42.3,72.0,8,450,1,3,136.9,140
173,173,Zeon,4.9,10.29,5.7,35.910000000000004,15,300,1,3,22.0,50
174,174,Zeon,17.6,96.0,17.5,19.25,20,200,4,1,87.9,90
175,175,Zeon,27.0,144.0,34.2,72.0,10,200,6,3,264.6,165
176,176,Zeon,129.0,144.0,20.4,72.0,20,450,6,3,835.2,145
177,177,Zeon,85.6,96.0,2.4,4.8,15,400,4,1,344.8,0
178,178,Zeon,61.8,144.0,40.6,48.0,20,300,6,2,452.0,105
179,179,Tata Power,105.5,120.0,17.4,72.0,15,450,5,3,579.7,85
180,180,Tata Power,18.0,64.80000000000001,53.7,72.0,15,400,3,3,215.1,135
181,181,Tata Power,58.0,120.0,19.2,48.0,20,450,5,2,328.4,185
182,182,Tata Power,68.0,120.0,2.8,14.0,8,300,5,2,345.6,155
183,183,Tata Power,20.2,48.0,12.4,19.84,15,200,2,1,52.8,105
184,184,Tata Power,6.6,12.54,16.8,48.0,20,350,1,2,40.2,130
185,185,Tata Power,44.2,48.0,17.8,48.0,22,450,2,2,124.0,80
186,186,Zeon,60.6,72.0,24.8,48.0,20,450,3,2,231.4,85
187,187,Tata Power,108.0,120.0,30.0,48.0,22,350,5,2,600.0,105
188,188,Tata Power,93.6,144.0,13.8,48.0,4,450,6,2,589.2,165
189,189,Tata Power,62.4,144.0,17.9,24.0,4,300,6,1,392.3,190
190,190,Tata Power,16.6,21.58,14.1,24.0,20,450,1,1,30.7,95
191,191,Statiq,36.0,72.0,3.1,6.51,8,450,3,1,111.1,155
192,192,Statiq,50.5,120.0,12.5,21.25,22,200,5,1,265.0,180
193,193,Statiq,119.5,120.0,8.4,15.96,20,450,5,1,605.9,20
194,194,Statiq,14.4,72.0,60.3,72.0,22,450,3,3,224.1,35
195,195,Tata Power,27.2,48.0,51.0,72.0,8,250,2,3,207.4,95
196,196,Tata Power,20.3,22.33,46.2,48.0,4,300,1,2,112.7,75
197,197,Tata Power,85.6,96.0,43.5,72.0,22,350,4,3,472.9,140
198,198,Tata Power,18.6,144.0,13.6,24.0,4,450,6,1,125.2,195
199,199,Tata Power,38.1,72.0,21.0,72.0,8,200,3,3,177.3,175
200,200,Tata Power,24.8,96.0,31.5,72.0,10,200,4,3,193.7,195
201,201,Tata Power,63.6,72.0,55.8,72.0,10,200,3,3,358.2,0
202,202,Tata Power,17.8,48.0,2.4,7.68,8,400,2,2,40.4,40
203,203,Tata Power,15.0,144.0,1.5,2.85,4,450,6,1,91.5,130
204,204,Tata Power,39.9,72.0,3.9,8.58,8,450,3,1,123.6,185
205,205,Tata Power,41.2,48.0,3.7,8.51,15,450,2,1,86.1,65
206,206,Tata Power,46.0,120.0,43.5,72.0,22,350,5,3,360.5,175
207,207,Tata Power,5.0,62.5,37.5,72.0,4,200,5,3,137.5,180
208,208,Tata Power,6.2,7.44,34.8,72.0,10,350,1,3,110.6,100
209,209,Tata Power,78.5,120.0,4.7,7.05,10,300,5,1,397.2,100
210,210,Tata Power,17.1,72.0,14.4,48.0,20,450,3,2,80.1,65
211,211,Tata Power,49.2,96.0,10.8,72.0,10,350,4,3,229.2,95
212,212,Tata Power,18.0,96.0,17.7,24.0,8,250,4,1,89.7,80
213,213,Tata Power,47.7,72.0,20.4,48.0,4,450,3,2,183.9,190
214,214,Tata Power,67.6,96.0,2.8,7.84,10,200,4,2,276.0,160
215,215,Tata Power,44.8,48.0,39.2,48.0,8,250,2,2,168.0,125
216,216,Tata Power,113.0,120.0,4.1,8.2,4,250,5,1,569.1,70
217,217,Tata Power,32.4,144.0,11.9,11.9,15,350,6,1,206.3,165
218,218,Tata Power,48.8,96.0,28.8,48.0,10,350,4,2,252.8,100
219,219,Tata Power,21.3,72.0,11.1,12.21,4,200,3,1,75.0,15
220,220,Tata Power,35.5,120.0,16.4,24.0,22,250,5,1,193.9,40
221,221,Tata Power,17.5,120.0,17.7,24.0,4,400,5,1,105.2,130
222,222,Tata Power,4.8,11.52,60.3,72.0,8,450,2,3,190.5,35
223,223,Tata Power,32.8,48.0,20.0,48.0,8,300,2,2,105.6,160
224,224,Tata Power,42.9,72.0,8.1,51.03,15,400,3,3,153.0,130
225,225,Tata Power,96.0,144.0,6.3,14.49,10,300,6,1,582.3,190
226,226,Tata Power,16.5,23.1,38.7,72.0,8,200,1,3,132.6,10
227,227,Tata Power,21.6,72.0,33.4,48.0,4,450,3,2,131.6,20
228,228,Tata Power,92.0,120.0,18.5,24.0,22,200,5,1,478.5,45
229,229,Tata Power,5.8,23.2,35.4,48.0,4,200,2,2,82.4,195
230,230,Tata Power,84.5,120.0,10.6,44.52,15,350,5,2,443.7,5
231,231,Tata Power,66.8,96.0,9.6,46.08,8,450,4,3,296.0,40
232,232,Tata Power,39.5,120.0,2.4,2.4,15,300,5,1,199.9,60
233,233,Tata Power,26.0,48.0,1.6,2.24,4,200,2,1,53.6,125
234,234,Tata Power,3.0,18.0,7.6,16.72,10,250,3,1,16.6,115
235,235,Tata Power,3.7,4.81,7.2,20.16,20,450,1,2,18.1,195
236,236,Tata Power,43.2,144.0,52.5,72.0,10,400,6,3,416.7,135
237,237,Tata Power,76.4,96.0,39.9,72.0,20,300,4,3,425.3,195
238,238,Tata Power,8.8,38.72,60.0,72.0,10,300,4,3,215.2,85
239,239,Tata Power,29.4,72.0,5.9,9.44,15,450,3,1,94.1,85
240,240,Tata Power,8.8,35.2,53.4,72.0,20,200,4,3,195.4,135
241,241,Tata Power,12.6,52.92,20.1,72.0,22,300,3,3,98.1,10
242,242,Tata Power,36.0,144.0,42.4,48.0,4,200,6,2,300.8,125
243,243,Tata Power,67.0,120.0,13.4,16.08,22,350,5,1,348.4,15
244,244,Tata Power,26.6,48.0,43.5,72.0,15,350,2,3,183.7,20
245,245,Tata Power,60.6,72.0,44.0,48.0,4,400,3,2,269.8,110
246,246,Tata Power,116.4,144.0,16.5,72.0,20,300,6,3,747.9,150
247,247,Tata Power,22.0,48.0,26.0,48.0,4,400,2,2,96.0,185
248,248,Tata Power,7.8,65.52,49.8,72.0,8,300,6,3,196.2,175
249,249,Tata Power,23.5,117.5,21.7,24.0,15,300,5,1,139.2,110
250,250,Tata Power,30.0,144.0,14.2,24.0,15,250,6,1,194.2,145
251,251,Tata Power,59.5,120.0,37.5,72.0,15,250,5,3,410.0,80
252,252,Tata Power,29.0,48.0,40.5,72.0,4,200,2,3,179.5,160
253,253,Tata Power,63.0,144.0,67.8,72.0,15,400,6,3,581.4,20
254,254,Tata Power,42.9,72.0,12.0,72.0,15,400,3,3,164.7,5
255,255,Tata Power,6.3,24.57,1.2,2.4,22,300,3,1,20.1,90
256,256,Tata Power,9.6,12.48,3.6,9.36,10,250,1,2,16.8,185
257,257,Tata Power,35.2,48.0,50.1,72.0,22,450,2,3,220.7,165
258,258,Tata Power,27.2,96.0,66.0,72.0,4,300,4,3,306.8,60
259,259,Tata Power,87.6,96.0,17.7,69.03,4,400,4,3,403.5,105
260,260,Tata Power,75.6,144.0,5.3,12.72,8,450,6,1,458.9,90
261,261,Tata Power,18.6,48.0,6.6,29.04,8,400,2,2,50.4,85
262,262,Tata Power,40.2,48.0,2.6,7.28,4,200,2,2,85.6,20
263,263,Tata Power,47.6,96.0,14.9,19.37,20,350,4,1,205.3,35
264,264,Tata Power,7.2,23.04,14.3,24.0,20,450,2,1,28.7,145
265,265,Tata Power,80.5,120.0,47.4,72.0,22,200,5,3,544.7,180
266,266,Tata Power,2.8,7.28,14.2,24.0,10,400,2,1,19.8,105
267,267,Tata Power,7.0,35.0,22.2,72.0,20,450,2,3,80.6,170
268,268,Tata Power,7.0,16.8,10.9,10.9,15,450,1,1,17.9,95
269,269,Tata Power,50.4,72.0,16.2,48.599999999999994,10,400,3,3,199.8,35
270,270,Tata Power,90.8,96.0,6.2,31.0,8,200,4,2,375.6,70
271,271,Tata Power,6.8,20.4,14.0,24.0,10,250,2,1,27.6,145
272,272,Tata Power,67.2,144.0,29.8,48.0,22,350,6,2,462.8,170
273,273,Tata Power,18.6,144.0,20.2,24.0,20,300,6,1,131.8,90
274,274,Tata Power,42.0,48.0,12.0,16.8,4,450,2,1,96.0,105
275,275,Tata Power,19.4,19.4,12.4,34.72,15,300,1,2,44.2,65
276,276,Tata Power,29.4,48.0,41.2,48.0,4,400,2,2,141.2,35
277,277,Chargegrid,85.5,120.0,59.4,72.0,8,300,5,3,605.7,15
278,278,Chargegrid,92.4,96.0,14.2,19.88,10,250,4,1,383.8,40
279,279,Chargegrid,83.0,120.0,11.6,16.24,8,200,5,1,426.6,185
280,280,Chargegrid,17.8,48.0,6.3,6.93,10,300,2,1,41.9,165
281,281,Chargegrid,14.9,24.0,3.4,17.0,10,350,1,2,21.7,105
282,282,Chargegrid,24.5,120.0,19.2,72.0,15,200,5,3,180.1,160
283,283,Chargegrid,60.3,72.0,14.7,23.52,10,200,3,1,195.6,45
284,284,Chargegrid,16.2,97.19999999999999,19.9,24.0,15,200,6,1,117.1,190
285,285,Chargegrid,47.0,120.0,44.4,72.0,15,400,5,3,368.2,170
286,286,BESCOM,38.1,72.0,22.8,24.0,8,300,3,1,137.1,105
287,287,BESCOM,21.5,24.0,52.5,72.0,10,450,1,3,179.0,95
288,288,BESCOM,23.3,24.0,21.9,24.0,22,350,1,1,45.2,120
289,289,BESCOM,18.3,23.79,4.9,7.35,22,200,1,1,23.2,30
290,290,BESCOM,75.5,120.0,39.6,48.0,22,350,5,2,456.7,60
291,291,BESCOM,100.0,120.0,13.0,28.6,20,450,5,2,526.0,115
292,292,BESCOM,18.6,111.60000000000001,9.3,58.59,15,350,6,3,139.5,185
293,293,BESCOM,17.4,48.0,22.6,48.0,15,300,2,2,80.0,100
294,294,BESCOM,143.4,144.0,4.9,11.76,4,450,6,1,865.3,100
295,295,BESCOM,14.3,24.0,69.3,72.0,22,350,1,3,222.2,65
296,296,BESCOM,30.8,96.0,61.8,72.0,20,450,4,3,308.6,70
297,297,BESCOM,14.5,120.0,45.4,48.0,8,350,5,2,163.3,150
298,298,BESCOM,44.2,48.0,17.8,48.0,4,350,2,2,124.0,30
299,299,BESCOM,21.6,72.0,9.8,17.64,8,450,3,1,74.6,5
300,300,BESCOM,20.8,24.0,5.2,14.56,8,300,1,2,31.2,45
301,301,BESCOM,20.6,48.0,9.6,40.32,8,350,2,3,70.0,180
302,302,BESCOM,14.1,72.0,10.0,44.0,15,250,3,2,62.3,60
303,303,BESCOM,61.2,72.0,9.9,18.81,22,450,3,1,193.5,0
304,304,FORTUM,30.6,144.0,14.4,47.519999999999996,4,400,6,3,226.8,165
305,305,FORTUM,43.5,72.0,36.0,48.0,10,450,3,2,202.5,110
306,306,FORTUM,10.8,48.0,54.9,72.0,20,350,2,3,186.3,130
307,307,FORTUM,63.2,96.0,24.2,48.0,20,300,4,2,301.2,110
308,308,FORTUM,28.8,96.0,67.8,72.0,8,450,4,3,318.6,195
309,309,FORTUM,19.6,19.6,30.9,72.0,10,350,1,3,112.3,15
310,310,FORTUM,96.6,144.0,9.8,37.24,10,200,6,2,599.2,110
311,311,FORTUM,4.8,18.72,16.7,23.38,15,200,3,1,31.1,100
312,312,FORTUM,27.6,96.0,8.1,41.31,10,400,4,3,134.7,115
313,313,FORTUM,52.2,72.0,31.8,48.0,10,250,3,2,220.2,30
314,314,FORTUM,37.0,120.0,8.3,12.45,15,300,5,1,193.3,80
315,315,Plug N Go,14.0,120.0,3.6,7.92,22,300,5,2,77.2,20
316,316,Others,4.6,14.72,44.8,48.0,20,300,2,2,98.8,100
317,317,Others,33.3,72.0,38.4,72.0,22,400,3,3,215.1,5
318,318,Others,54.8,96.0,22.3,24.0,15,200,4,1,241.5,50
319,319,Others,16.3,22.82,53.7,72.0,4,450,1,3,177.4,55
320,320,Others,24.9,72.0,8.2,36.08,4,300,3,2,91.1,150
321,321,Others,45.2,96.0,5.6,8.96,10,250,4,1,186.4,5
322,322,Others,31.6,96.0,45.3,72.0,15,250,4,3,262.3,155
323,323,Others,15.7,24.0,21.1,24.0,8,350,1,1,36.8,75
324,324,Others,41.2,48.0,70.5,72.0,10,350,2,3,293.9,195
325,325,Others,64.8,144.0,46.5,72.0,15,350,6,3,528.3,130
326,326,Others,15.0,48.0,12.1,19.36,4,450,2,1,42.1,190
327,327,Others,105.6,144.0,27.0,72.0,22,250,6,3,714.6,170
328,328,Others,5.2,10.92,53.4,72.0,20,250,1,3,165.4,120
329,329,Others,23.6,47.2,10.4,18.72,8,400,2,1,57.6,195
330,330,Volttic,2.0,8.4,39.6,48.0,4,300,2,2,83.2,75
331,331,Volttic,33.6,72.0,36.6,48.0,10,350,3,2,174.0,100
332,332,Zeon,28.8,48.0,34.6,48.0,10,400,2,2,126.8,95
333,333,Zeon,28.8,144.0,67.8,72.0,4,300,6,3,376.2,195
334,334,Zeon,28.2,144.0,43.2,72.0,4,300,6,3,298.8,80
335,335,Zeon,13.2,23.76,9.8,39.2,8,450,1,2,32.8,15
336,336,Zeon,1.8,4.5,30.2,48.0,8,200,1,2,62.2,70
337,337,Zeon,94.5,120.0,20.9,22.99,15,300,5,1,493.4,0
338,338,Zeon,75.5,120.0,3.0,3.6,4,300,5,1,380.5,35
339,339,Zeon,54.4,96.0,4.8,18.24,8,250,4,2,227.2,140
340,340,Zeon,56.5,120.0,39.2,48.0,22,450,5,2,360.9,75
341,341,Zeon,43.8,72.0,57.9,72.0,20,350,3,3,305.1,85
342,342,Zeon,48.8,96.0,40.0,48.0,20,400,4,2,275.2,185
343,343,Zeon,73.2,144.0,10.4,23.92,8,350,6,1,449.6,185
344,344,Zeon,18.2,21.84,17.0,48.0,8,450,1,2,52.2,185
345,345,Zeon,58.8,72.0,14.7,72.0,10,300,3,3,220.5,190
346,346,Zeon,10.0,90.0,6.6,41.58,10,300,5,3,69.8,130
